File created on 2025-11-10T15:36:18.913383
Source data: ac_h0s_mfi_20120122000004_20120122235948_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:36:18.913263#COOR
GSM

#SATELLITEXYZ
208.861
  0.000
  0.000


#START
2012 01 22 01 43 20 888       -0.05      -7.44       9.67    -317.99      10.01      -3.33     558.00  220481.09
2012 01 22 01 43 39 802        0.00      -7.46       9.61    -317.77      10.69      -3.95     557.90  220361.16
2012 01 22 01 43 58 717       -0.04      -7.37       9.70    -317.55      11.36      -4.57     557.79  220241.24
2012 01 22 01 44 17 639       -0.20      -7.42       9.66    -317.33      12.04      -5.19     557.68  220121.31
2012 01 22 01 44 22 370       -0.19      -7.44       9.63    -317.27      12.21      -5.34     557.65  220091.33
2012 01 22 01 44 33 394       -0.15      -7.49       9.55    -317.35      12.05      -5.19     557.57  220001.38
2012 01 22 01 44 48 098       -0.04      -7.48       9.57    -317.44      11.83      -4.98     557.46  219881.46
2012 01 22 01 45 02 799       -0.06      -7.40       9.62    -317.54      11.61      -4.78     557.35  219761.53
2012 01 22 01 45 17 500       -0.16      -7.32       9.70    -317.64      11.39      -4.57     557.24  219641.61
2012 01 22 01 45 21 177       -0.17      -7.34       9.69    -317.67      11.34      -4.52     557.21  219611.62
2012 01 22 01 45 36 202       -0.18      -7.41       9.68    -317.44      11.16      -4.19     557.13  219521.68
2012 01 22 01 45 56 240       -0.15      -7.42       9.65    -317.13      10.91      -3.75     557.02  219401.75
2012 01 22 01 46 16 289        0.01      -7.27       9.79    -316.83      10.67      -3.31     556.91  219281.83
2012 01 22 01 46 36 342       -0.14      -7.35       9.78    -316.52      10.43      -2.87     556.80  219161.90
2012 01 22 01 46 41 358       -0.14      -7.36       9.76    -316.44      10.37      -2.76     556.78  219131.92
2012 01 22 01 46 49 339       -0.13      -7.39       9.72    -316.75      10.81      -3.34     556.70  219041.98
2012 01 22 01 46 59 989       -0.10      -7.41       9.68    -317.15      11.41      -4.13     556.59  218922.05
2012 01 22 01 47 10 655       -0.09      -7.44       9.60    -317.55      12.00      -4.91     556.48  218802.13
2012 01 22 01 47 21 332       -0.10      -7.37       9.64    -317.96      12.60      -5.69     556.37  218682.20
2012 01 22 01 47 24 005       -0.09      -7.37       9.65    -318.06      12.75      -5.89     556.34  218652.22
2012 01 22 01 47 35 664       -0.05      -7.37       9.69    -318.09      12.30      -5.38     556.26  218562.27
2012 01 22 01 47 51 208       -0.02      -7.37       9.70    -318.12      11.70      -4.69     556.15  218442.35
2012 01 22 01 48 06 754       -0.00      -7.33       9.63    -318.16      11.10      -4.01     556.04  218322.42
2012 01 22 01 48 22 298       -0.13      -7.42       9.52    -318.19      10.50      -3.32     555.93  218202.50
2012 01 22 01 48 26 184       -0.11      -7.43       9.53    -318.20      10.35      -3.15     555.90  218172.52
2012 01 22 01 48 33 887       -0.05      -7.46       9.57    -318.53      10.14      -2.93     555.82  218082.57
2012 01 22 01 48 44 175       -0.06      -7.39       9.59    -318.96       9.88      -2.64     555.71  217962.65
2012 01 22 01 48 54 476       -0.12      -7.31       9.58    -319.40       9.61      -2.34     555.60  217842.72
2012 01 22 01 49 04 795       -0.25      -7.36       9.57    -319.84       9.34      -2.05     555.50  217722.79
2012 01 22 01 49 07 376       -0.24      -7.36       9.58    -319.95       9.27      -1.97     555.47  217692.81
2012 01 22 01 49 18 775       -0.19      -7.34       9.61    -319.99      10.20      -3.03     555.39  217602.87
2012 01 22 01 49 33 976       -0.20      -7.30       9.65    -320.05      11.44      -4.44     555.28  217482.94
2012 01 22 01 49 49 175       -0.29      -7.39       9.58    -320.12      12.68      -5.86     555.17  217363.02
2012 01 22 01 50 04 377       -0.15      -7.27       9.67    -320.18      13.92      -7.27     555.06  217243.09
2012 01 22 01 50 08 177       -0.13      -7.26       9.70    -320.19      14.23      -7.62     555.03  217213.11
2012 01 22 01 50 22 415       -0.08      -7.23       9.79    -320.02      13.35      -6.66     554.95  217123.16
2012 01 22 01 50 41 406       -0.07      -7.27       9.69    -319.79      12.16      -5.39     554.84  217003.24
2012 01 22 01 51 00 398       -0.06      -7.28       9.61    -319.56      10.98      -4.11     554.73  216883.31
2012 01 22 01 51 19 398       -0.18      -7.34       9.63    -319.33       9.80      -2.84     554.62  216763.39
2012 01 22 01 51 24 148       -0.18      -7.35       9.61    -319.27       9.50      -2.52     554.60  216733.41
2012 01 22 01 51 36 153       -0.19      -7.40       9.55    -319.27      10.49      -3.72     554.51  216643.46
2012 01 22 01 51 52 159       -0.21      -7.28       9.59    -319.27      11.81      -5.32     554.40  216523.54
2012 01 22 01 52 08 169       -0.15      -7.28       9.66    -319.27      13.13      -6.92     554.30  216403.61
2012 01 22 01 52 24 179       -0.13      -7.24       9.70    -319.27      14.44      -8.53     554.19  216283.68
2012 01 22 01 52 28 180       -0.09      -7.23       9.71    -319.27      14.77      -8.93     554.16  216253.70
2012 01 22 01 52 38 117        0.04      -7.17       9.73    -319.43      14.60      -8.58     554.08  216163.76
2012 01 22 01 52 51 370        0.03      -7.16       9.79    -319.64      14.36      -8.13     553.97  216043.83
2012 01 22 01 53 04 629        0.03      -7.16       9.72    -319.85      14.12      -7.67     553.86  215923.91
2012 01 22 01 53 17 889        0.04      -7.14       9.70    -320.06      13.89      -7.22     553.75  215803.98
2012 01 22 01 53 21 205        0.05      -7.19       9.70    -320.11      13.83      -7.10     553.72  215774.00
2012 01 22 01 53 33 405        0.09      -7.35       9.68    -320.10      13.86      -7.18     553.64  215684.06
2012 01 22 01 53 49 667        0.20      -7.30       9.71    -320.08      13.90      -7.28     553.53  215564.13
2012 01 22 01 54 05 933        0.13      -7.15       9.83    -320.06      13.95      -7.39     553.42  215444.20
2012 01 22 01 54 22 196        0.02      -7.20       9.86    -320.04      13.99      -7.49     553.31  215324.28
2012 01 22 01 54 26 263        0.00      -7.21       9.84    -320.03      14.00      -7.52     553.29  215294.30
2012 01 22 01 54 38 462       -0.07      -7.23       9.78    -320.02      14.03      -7.59     553.20  215204.35
2012 01 22 01 54 54 725       -0.04      -7.18       9.86    -320.00      14.07      -7.70     553.10  215084.43
2012 01 22 01 55 10 988       -0.02      -7.18       9.88    -319.98      14.12      -7.80     552.99  214964.50
2012 01 22 01 55 27 254        0.06      -7.16       9.88    -319.96      14.16      -7.90     552.88  214844.58
2012 01 22 01 55 31 320        0.08      -7.15       9.89    -319.95      14.17      -7.93     552.85  214814.59
2012 01 22 01 55 47 315        0.11      -7.11       9.95    -319.65      13.53      -7.19     552.77  214724.65
2012 01 22 01 56 08 651       -0.00      -7.12       9.95    -319.24      12.69      -6.20     552.66  214604.72
2012 01 22 01 56 30 000        0.04      -7.13       9.89    -318.83      11.85      -5.22     552.55  214484.80
2012 01 22 01 56 51 366        0.02      -7.16       9.91    -318.42      11.00      -4.23     552.44  214364.87
2012 01 22 01 56 56 709        0.05      -7.16       9.92    -318.32      10.79      -3.99     552.41  214334.89
2012 01 22 01 57 08 135        0.15      -7.15       9.94    -318.36      11.05      -4.42     552.33  214244.95
2012 01 22 01 57 23 375        0.10      -7.10       9.91    -318.42      11.39      -4.99     552.22  214125.02
2012 01 22 01 57 38 611        0.14      -7.07       9.96    -318.48      11.73      -5.57     552.11  214005.09
2012 01 22 01 57 53 851        0.03      -7.08       9.91    -318.53      12.07      -6.15     552.00  213885.17
2012 01 22 01 57 57 660        0.07      -7.08       9.90    -318.55      12.16      -6.29     551.98  213855.19
2012 01 22 01 58 11 402        0.17      -7.08       9.88    -318.42      12.36      -6.36     551.90  213765.24
2012 01 22 01 58 29 731        0.09      -7.12       9.89    -318.24      12.64      -6.45     551.79  213645.32
2012 01 22 01 58 48 059        0.06      -7.15       9.83    -318.06      12.91      -6.54     551.68  213525.39
