Time,BX,BY,BZ,VX,VY,VZ,X,NP,ID
2016-05-06 12:30:41,2.565999984741211,-5.048999786376953,-6.9029998779296875,-397.9488220214844,-1.9794844388961792,-1.2875781059265137,1542108.125,8.349971771240234,71
2016-05-06 12:31:58,2.746000051498413,-7.73799991607666,-4.235000133514404,-397.97198486328125,4.175812721252441,-0.03331249579787254,1542111.125,8.349793434143066,71
2016-05-06 12:32:19,1.7050000429153442,-7.77400016784668,-5.13700008392334,-398.7437438964844,5.563453197479248,-0.22132812440395355,1542111.75,8.555298805236816,71
2016-05-06 12:32:34,1.1169999837875366,-8.309000015258789,-4.045000076293945,-399.29498291015625,6.554625034332275,-0.3556250035762787,1542112.25,8.70208740234375,71
2016-05-06 12:32:50,2.611999988555908,-8.045000076293945,-3.7249999046325684,-399.88299560546875,7.611875057220459,-0.4988749921321869,1542112.75,8.858662605285645,71
2016-05-06 12:34:46,2.4059998989105225,-7.4039998054504395,-5.000999927520752,-401.87152099609375,2.882499933242798,7.197000026702881,1542116.375,8.711037635803223,71
2016-05-06 12:37:03,7.5370001792907715,-3.381999969482422,-5.105999946594238,-396.3017883300781,3.9795467853546143,-2.7146718502044678,1542121.625,9.652555465698242,71
2016-05-06 12:37:11,6.929999828338623,-4.047999858856201,-5.710000038146973,-396.4030456542969,3.5904219150543213,-2.754546880722046,1542121.875,9.676006317138672,71
2016-05-06 12:37:15,6.809000015258789,-3.9719998836517334,-5.701000213623047,-396.45367431640625,3.3958592414855957,-2.774484157562256,1542122.0,9.68773078918457,71
2016-05-06 12:37:37,7.2870001792907715,-3.4860000610351562,-5.538000106811523,-396.73211669921875,2.325765609741211,-2.8841404914855957,1542122.75,9.752218246459961,71
2016-05-06 12:38:56,5.425000190734863,-7.284999847412109,-1.0800000429153442,-401.354248046875,9.777249336242676,-8.122593879699707,1542125.25,9.26251220703125,71
2016-05-06 12:39:38,3.1600000858306885,-8.258999824523926,1.7289999723434448,-396.9389953613281,4.626999855041504,-1.413750171661377,1542127.25,9.931099891662598,71
2016-05-06 12:40:00,,,,,,,,,71
2016-05-06 12:40:55,3.240999937057495,-6.624000072479248,1.4199999570846558,-400.04168701171875,17.23065757751465,-2.4998905658721924,1542129.875,9.827997207641602,71
2016-05-06 12:45:54,1.8700000047683716,-6.6529998779296875,2.135999917984009,-413.36798095703125,15.71862506866455,5.695374965667725,1542140.25,10.703612327575684,71
2016-05-06 12:46:52,3.7980000972747803,-5.705999851226807,0.18000000715255737,-409.9761047363281,14.406624794006348,5.358156204223633,1542142.0,10.965084075927734,71
2016-05-06 12:47:13,3.7279999256134033,-6.2729997634887695,0.8519999980926514,-408.5963439941406,13.59418773651123,6.404547214508057,1542142.75,11.236345291137695,71
2016-05-06 12:48:15,2.177999973297119,-6.752999782562256,1.2740000486373901,-406.1334228515625,12.145421981811523,1.5828125476837158,1542145.5,10.701196670532227,71
2016-05-06 12:48:52,3.0399999618530273,-6.460000038146973,1.3320000171661377,-405.2400207519531,12.76159381866455,-0.795968770980835,1542146.75,10.679668426513672,71
2016-05-06 12:51:34,6.468999862670898,-5.205999851226807,-4.534999847412109,-398.0789489746094,8.952875137329102,-13.669249534606934,1542151.875,8.491981506347656,71
2016-05-06 12:52:47,5.3480000495910645,-6.526000022888184,-6.26800012588501,-396.3818664550781,12.307358741760254,-13.947281837463379,1542155.125,9.706177711486816,71
